Name,Year,Age,Major,Degree,Living Condition,GPA,Passing
Tori,Junior,89,English,BS,House,34,yes
Liz,Senior,19,Music Education,BS,At home,44,yes
Taylor,Junior,79,Business,BS,At home,16,no
Kim,Freshman,72,Music Education,BA,Apartment,58,yes
Clayton,Senior,34,Graphic Design,BA,House,69,yes
Kim,Senior,68,Business,BS,Apartment,90,yes
Liz,Junior,32,English,BS,At home,55,yes
Jacob,Senior,57,Math,BA,At home,80,yes
Ellie,Senior,0,Graphic Design,BA,House,50,yes
Tori,Junior,70,Math,BS,Apartment,39,yes
John,Junior,34,Math,BS,At home,32,yes
Joe,Freshman,87,Graphic Design,BA,Dorm,86,yes
Clayton,Sophomore,68,Math,BA,House,91,yes
Mary,Junior,96,Journalism,BA,At home,75,yes
Ellie,Junior,100,History Education,BS,At home,58,yes
Noah,Senior,72,Music Education,BS,At home,52,yes
Jenna,Junior,45,Nursing,BS,At home,30,yes
Mary,Senior,91,Math,BS,At home,54,yes
Jared,Freshman,77,Math,BS,Apartment,27,yes
Joe,Sophomore,0,History Education,BA,House,60,yes
Emily,Sophomore,23,Computer Science,BA,At home,80,yes
Noah,Freshman,70,Journalism,BS,House,29,yes
Noah,Freshman,13,English,BA,Dorm,8,no
John,Senior,17,History Education,BA,Dorm,76,yes
John,Senior,6,Spanish,BS,Dorm,47,yes
Jenna,Sophomore,40,Spanish,BA,At home,73,yes
Jeff,Senior,68,Graphic Design,BA,House,94,yes
Emily,Sophomore,51,Journalism,BA,Dorm,84,yes
Noah,Sophomore,43,Computer Science,BS,Apartment,38,yes
John,Junior,40,Theatre,BA,House,26,yes
Gloria,Senior,13,Graphic Design,BA,House,75,yes
Daniel,Junior,98,Computer Science,BA,At home,40,yes
Gloria,Sophomore,9,Computer Science,BA,Dorm,19,yes
Jeff,Senior,0,Spanish,BA,Dorm,55,yes
Ellie,Sophomore,49,Computer Science,BS,Apartment,11,no
Emily,Freshman,23,Computer Science,BS,Apartment,71,yes
Nick,Senior,72,Nursing,BA,House,61,yes
Kim,Sophomore,34,Math,BA,House,20,yes
Joe,Senior,34,Theatre,BA,At home,39,yes
Tori,Freshman,28,Graphic Design,BA,House,52,yes
Mary,Senior,51,Business,BS,House,91,yes
Nick,Junior,17,Math,BS,Apartment,60,yes
Kim,Sophomore,68,Computer Science,BS,Dorm,4,no
Joe,Freshman,55,Computer Science,BS,At home,85,yes
Nick,Junior,68,Nursing,BS,House,13,no
Hugh,Senior,45,Computer Science,BS,At home,55,yes
Noah,Senior,2,Nursing,BA,At home,72,yes
Jared,Freshman,23,Math,BA,At home,32,yes
Emily,Senior,72,Nursing,BA,Apartment,53,yes
Emily,Freshman,77,English,BS,House,83,yes
Taylor,Junior,53,Graphic Design,BA,Dorm,5,no
Daniel,Freshman,36,Business,BA,Dorm,99,yes
Taylor,Freshman,11,Computer Science,BS,House,90,yes
Daniel,Junior,28,History Education,BA,Apartment,44,yes
Liz,Senior,53,Nursing,BS,Apartment,29,yes
Joe,Freshman,66,History Education,BS,Dorm,24,yes
Ellie,Sophomore,60,English,BA,Apartment,35,yes
Tori,Senior,70,Math,BS,House,26,yes
Kim,Freshman,38,Graphic Design,BA,House,31,yes
Tori,Freshman,47,Journalism,BA,At home,33,yes
Jenna,Sophomore,38,Graphic Design,BA,Apartment,15,no
Gloria,Freshman,32,Journalism,BA,Dorm,88,yes
Liz,Junior,34,History Education,BA,At home,48,yes
Gloria,Senior,40,Business,BS,At home,33,yes
Liz,Freshman,19,Graphic Design,BA,At home,39,yes
Taylor,Junior,100,Business,BA,Apartment,45,yes
Noah,Junior,55,Math,BA,Dorm,94,yes
Jacob,Sophomore,19,Journalism,BA,House,76,yes
Taylor,Senior,23,History Education,BS,House,43,yes
Daniel,Junior,98,English,BS,At home,98,yes
Ellie,Senior,49,Spanish,BA,House,24,yes
Jacob,Freshman,74,History Education,BS,Apartment,59,yes
Jeremiah,Sophomore,13,Music Education,BS,House,0,no
Taylor,Freshman,45,Computer Science,BS,At home,48,yes
Gloria,Junior,9,Graphic Design,BS,House,77,yes
Nick,Junior,40,Journalism,BA,Apartment,34,yes
Joe,Sophomore,4,English,BS,At home,63,yes
Emily,Junior,60,Theatre,BA,House,91,yes
Jeremiah,Sophomore,62,Graphic Design,BA,At home,82,yes
Mary,Senior,51,Spanish,BA,Apartment,30,yes
Joe,Freshman,21,Journalism,BS,Dorm,97,yes
Taylor,Senior,32,Math,BA,House,62,yes
Clayton,Junior,87,Computer Science,BS,Apartment,17,no
Clayton,Sophomore,68,Math,BA,Apartment,64,yes
Jacob,Freshman,51,Spanish,BA,House,7,no
Jenna,Sophomore,2,Spanish,BA,Dorm,58,yes
Ellie,Senior,15,Music Education,BS,Apartment,95,yes
Clayton,Sophomore,21,Music Education,BS,At home,41,yes
Noah,Sophomore,36,Music Education,BA,At home,77,yes
Liz,Senior,55,History Education,BS,At home,2,no
Daniel,Junior,4,Spanish,BA,House,49,yes
Jacob,Freshman,17,Graphic Design,BA,Dorm,54,yes
Nick,Freshman,36,Business,BS,House,95,yes
Ellie,Senior,60,English,BS,Apartment,55,yes
Jenna,Sophomore,94,Music Education,BS,At home,33,yes
John,Senior,66,English,BA,Apartment,73,yes
Nick,Junior,91,English,BS,Dorm,99,yes
Gloria,Freshman,89,Graphic Design,BA,Apartment,40,yes
Tori,Junior,6,Graphic Design,BS,House,88,yes
Tori,Junior,72,Business,BA,Apartment,9,no
Daniel,Sophomore,43,Journalism,BA,House,54,yes
Noah,Senior,85,Nursing,BS,Dorm,52,yes
Joe,Junior,94,Journalism,BA,Apartment,21,yes
Ellie,Freshman,62,Journalism,BS,House,46,yes
Joe,Sophomore,57,History Education,BS,At home,35,yes
Jeff,Freshman,13,Business,BS,Dorm,81,yes
Nick,Sophomore,47,English,BS,Apartment,72,yes
Mary,Senior,100,Spanish,BS,House,3,no
Liz,Sophomore,89,Business,BA,House,57,yes
Clayton,Sophomore,23,Nursing,BS,House,28,yes
John,Sophomore,40,Spanish,BS,House,24,yes
Nick,Freshman,43,English,BA,Dorm,54,yes
Jenna,Sophomore,96,Math,BS,At home,69,yes
Daniel,Junior,83,History Education,BS,At home,6,no
Taylor,Sophomore,43,History Education,BS,At home,21,yes
Jeff,Sophomore,43,English,BA,Dorm,58,yes
Taylor,Freshman,98,Spanish,BA,At home,8,no
Kim,Freshman,62,Theatre,BA,At home,7,no
Joe,Senior,4,Spanish,BA,Apartment,12,no
Noah,Sophomore,17,Journalism,BS,At home,67,yes
Jacob,Junior,45,Theatre,BS,At home,61,yes
Liz,Freshman,98,Computer Science,BS,Dorm,76,yes
Hugh,Sophomore,23,Music Education,BA,At home,9,no
Jeremiah,Senior,60,Nursing,BA,At home,72,yes
Jenna,Freshman,47,English,BS,At home,40,yes
Jacob,Senior,21,Computer Science,BA,Dorm,53,yes
Hugh,Junior,62,Theatre,BA,Apartment,94,yes
Gloria,Freshman,36,History Education,BA,House,47,yes
Nick,Junior,62,Music Education,BS,Apartment,93,yes
Daniel,Senior,57,Journalism,BS,House,9,no
Nick,Sophomore,36,Journalism,BA,Dorm,24,yes
Daniel,Freshman,74,History Education,BA,House,54,yes
Noah,Senior,77,Music Education,BA,At home,56,yes
Mary,Freshman,70,Computer Science,BS,House,16,no
Jacob,Senior,11,Business,BA,Apartment,54,yes
Jeremiah,Senior,30,English,BA,Apartment,29,yes
Ellie,Sophomore,34,Nursing,BS,At home,73,yes
Jared,Sophomore,72,Graphic Design,BS,Dorm,18,no
Tori,Freshman,64,English,BS,Dorm,85,yes
John,Senior,100,Spanish,BA,House,80,yes
Kim,Freshman,47,Journalism,BA,Dorm,19,no
John,Junior,30,Theatre,BA,House,29,yes
Hugh,Freshman,60,Journalism,BS,Dorm,70,yes
Jared,Freshman,11,Nursing,BA,Apartment,49,yes
Jared,Senior,83,Math,BA,Apartment,57,yes
Daniel,Senior,62,Business,BS,At home,46,yes
Jenna,Senior,72,Math,BA,House,96,yes
Daniel,Freshman,81,Music Education,BS,House,41,yes
Emily,Freshman,57,Business,BS,House,36,yes
Joe,Junior,85,History Education,BS,House,29,yes
Gloria,Sophomore,30,Nursing,BA,At home,70,yes
Gloria,Sophomore,77,Spanish,BS,House,81,yes
Daniel,Sophomore,57,Computer Science,BS,Apartment,24,yes
Gloria,Freshman,96,History Education,BS,House,74,yes
Nick,Sophomore,55,Music Education,BS,Apartment,82,yes
Jeremiah,Sophomore,34,History Education,BS,Dorm,43,yes
Jared,Freshman,57,English,BA,Dorm,68,yes
Jared,Sophomore,85,Nursing,BA,Apartment,62,yes
John,Sophomore,6,Journalism,BS,At home,44,yes
John,Sophomore,98,Business,BA,Dorm,17,no
Nick,Sophomore,30,Nursing,BS,House,6,no
Emily,Freshman,17,Nursing,BS,Apartment,44,yes
Ellie,Sophomore,62,Nursing,BA,At home,49,yes
Jared,Sophomore,77,Theatre,BS,Apartment,20,yes
Nick,Sophomore,91,Theatre,BS,House,6,no
Jeff,Sophomore,64,English,BA,Dorm,89,yes
Jared,Freshman,51,Spanish,BA,House,20,yes
Kim,Senior,94,Business,BS,Apartment,18,no
Jeremiah,Sophomore,21,Nursing,BS,At home,64,yes
Hugh,Freshman,57,Math,BA,House,35,yes
Nick,Freshman,72,Music Education,BA,At home,2,no
Jeff,Senior,68,Music Education,BA,Dorm,80,yes
Jeremiah,Junior,19,Graphic Design,BS,Apartment,52,yes
Jared,Sophomore,87,Music Education,BA,Apartment,87,yes
Jeff,Freshman,26,Business,BS,House,39,yes
Jared,Sophomore,68,Theatre,BS,Dorm,20,yes
Tori,Sophomore,96,Business,BS,At home,15,no
Jared,Junior,55,English,BS,Dorm,100,yes
Noah,Freshman,0,Nursing,BA,At home,95,yes
Taylor,Junior,6,History Education,BS,Apartment,86,yes
Nick,Sophomore,98,Computer Science,BS,House,42,yes
Clayton,Senior,0,Theatre,BS,Apartment,0,no
Liz,Freshman,81,English,BA,Apartment,39,yes
Jacob,Junior,30,Math,BS,At home,67,yes
